106年01月 1452宏益            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","967,006","19,549,220","20.55","20.55","20.00","20.30","-0.20","439",
"106/01/04","1,969,013","40,872,165","20.50","21.00","20.30","20.85","+0.55","918",
"106/01/05","888,891","18,584,631","21.00","21.15","20.70","20.80","-0.05","418",
"106/01/06","1,176,960","24,763,768","21.10","21.30","20.80","20.85","+0.05","578",
"106/01/09","581,499","12,105,396","21.00","21.05","20.65","20.65","-0.20","340",
"106/01/10","414,010","8,607,260","20.70","20.95","20.60","20.95","+0.30","259",
"106/01/11","371,147","7,720,888","21.05","21.05","20.70","20.70","-0.25","229",
"106/01/12","258,010","5,334,503","20.75","20.85","20.60","20.65","-0.05","187",
"106/01/13","437,173","8,986,445","20.60","20.75","20.50","20.50","-0.15","235",
"106/01/16","348,298","7,080,647","20.50","20.50","20.25","20.30","-0.20","213",
"106/01/17","238,104","4,858,316","20.50","20.50","20.30","20.40","+0.10","168",
"106/01/18","1,754,502","36,779,842","20.35","21.20","20.35","21.00","+0.60","925",
"106/01/19","493,830","10,301,666","21.00","21.00","20.75","20.85","-0.15","268",
"106/01/20","564,162","11,738,732","20.95","21.10","20.60","20.60","-0.25","300",
"106/01/23","546,304","11,326,529","20.70","20.95","20.60","20.60"," 0.00","254",
"106/01/24","487,062","10,114,319","20.80","21.00","20.60","20.60"," 0.00","258",
